'説明文', 'せつめいぶん', ' ', ' ', 'Văn bản giải thích '
'右に出る', 'みぎにでる', ' ', ' ', 'Tôi đi ra bên phải '
'取り上げる', 'とりあげる', 'cầm lấy; cất lên; dung nạp', 'pick up', ' '
'謙遜する', 'けんそんする', 'nhún mình ', ' ', ' '
'そこで', 'そこで', 'bây giờ; tiếp theo; ngay sau đó; ở đó', 'so ', ' '
'行列', 'ぎょうれつ', 'du hành ', 'procession', ' '
'横目', 'よこめ', 'sự liếc mắt; sự nhìn ngang', ' ', ' '
'動き回る', 'うごきまわる', ' ', ' ', 'Di chuyển xung quanh '
'一見', 'いっけん', 'nhìn; nhìn một lần; thấy; thấy một lần; xem; xem một lần', 'look ', ' '
'行き来する', 'いきき', 'đi đi lại lại', ' ', ' '
'担ぐ', 'かつぐ', 'khiêng', 'shoulder ', ' '
'割合', 'わりあい', 'tỷ lệ', 'proportion ', ' '
'構成する', 'こうせい', 'cấu thành; cấu tạo; tạo nên', 'compose ', ' '
'新たな', 'あらたな', ' ', 'new', 'A mới '
'組織する', 'そしき', 'tổ chức; cấu trúc', 'organize ', ' '
'集団', 'しゅうだん', 'tập thể; tập đoàn', 'group', ' '
'経つ時間が', '経つ時間が', ' ', ' ', 'được thông qua thời gian '
'比率', 'ひりつ', 'tỉ suất ', 'ratio ', ' '
'分担する', 'ぶんたん', 'phân chia (trách phận); gánh vác', 'share ', ' '
'さすがに', 'さすがに', ' ', 'indeed ', 'Đúng như dự đoán '
'能率', 'のうりつ', 'hiệu quả; hiệu suất; năng suất ', 'efficiency', ' '
'落ちる能率が', '落ちる能率が', ' ', ' ', 'Rơi hiệu quả '
'登場する', 'とうじょう', 'đi vào', 'appear', ' '
'ご存じ', 'ごぞんじ', 'biết; hiểu', ' ', ' '
'人材', 'じんざい', 'nhân tài ', 'talent', ' '
'スタートする', 'スタートする', 'bắt đầu; khởi động ', ' ', ' '
'特命', 'とくめい', 'Sứ mệnh', 'special mission 【.】 ', ' '
'プロジェクト', 'プロジェクト', 'dự án ', 'project ', ' '
'スタープレイヤー', 'スタープレイヤー', ' ', ' ', 'Sao chơi '
'プレイヤー', 'プレイヤー', ' ', ' ', 'Máy nghe nhạc '
'チーム', 'チーム', 'nhóm; hội; đội; hội ', 'team', ' '
'からめる', 'からめる', ' ', ' ', 'Đường ngào '
'法則', 'ほうそく', 'đạo luật ', 'law', ' '
'当たる法則する', '当たる法則する', ' ', ' ', 'Để hits luật '
'脇役', 'わきやく', 'vai trò trợ giúp ', 'supporting actor ［actress］', ' '
'脚本', 'きゃくほん', 'kịch bản', 'script ', ' '
'偉大', 'いだい', 'sự vĩ đại; to lớn; xuất chúng', 'greatness', ' '
'脈拍', 'みゃくはく', 'sự đập của mạch ', 'pulse', ' '
'上がる脈拍が', '上がる脈拍が', ' ', ' ', 'Tăng xung '
'アドレナリン', 'アドレナリン', 'tuyến trên thận; tuyến thượng thận', 'adrenalin， -line ', ' '
'徐々に', 'じょじょに', 'chầm chậm; thong thả từng chút một', ' ', ' '
'疲弊する', '疲弊する', ' ', ' ', 'Kiệt sức '
'理想的な', '理想的な', ' ', 'ideal', 'Lý tưởng '
'現象', 'げんしょう', 'hiện tượng', 'phenomenon', ' '
'参考資料', 'さんこうしりょう', ' ', ' ', 'Tài liệu tham khảo '
'プライベートな', 'プライベートな', ' ', 'private ', 'Riêng '
'示す興味を', '示す興味を', ' ', ' ', 'thể hiện sự quan tâm '
'老舗', 'しにせ', 'cửa hàng có từ lâu đời', ' ', ' '
'優れる', 'すぐれる', 'ưu ', 'excel', ' '
'営業マン', 'えいぎょうマン', ' ', ' ', 'Người bán hàng '
'太鼓', 'たいこ', 'cái trống; trống lục lạc ', 'drum', ' '
'腕太鼓の', '腕太鼓の', ' ', ' ', 'Của cánh tay trống '
'地元', 'じもと', 'địa phương; trong vùng', ' ', ' '
'取引先', 'とりひきさき', 'Khách hàng', ' ', ' '
'絨毯', 'じょうたん', 'thảm ', 'carpet', ' '
'出張所', 'しゅっちょうじょ', 'chỗ làm việc; nơi công tác ', ' ', ' '
'所長', 'しょちょう', 'trưởng phòng; người đứng đầu ', 'director ', ' '
'社名', 'しゃめい', ' ', ' ', 'Tên công ty '
'名', 'な', 'danh nghĩa', 'name', ' '
'織物', 'おりもの', 'vải dệt ', 'textile ', ' '
'モダンな', 'モダンな', ' ', ' ', 'Hiện đại '
'市場開拓', 'しじょうかいたく', ' ', ' ', 'Thị trường '
'開拓する', 'かいたく', 'khai thác; tiên phong; khai phá', 'pioneer ', ' '
'きっての', 'きっての', ' ', ' ', 'Stamp của '
'何しろ', 'なにしろ', 'dù thế nào đi nữa', 'you know ', ' '
'知識', 'ちしき', 'chữ nghĩa ', 'knowledge', ' '
'成果', 'せいか', 'thành quả; kết quả ', 'result', ' '
'あげる成果を', 'あげる成果を', ' ', ' ', 'các kết quả để cải thiện '
'実', 'じつ', 'sự chân thực; sự chân thành; sự thành thực', 'fruit', ' '
'結ぶ実を', '結ぶ実を', ' ', ' ', 'cần buộc thực tế '
'魅せる', 'みせる', ' ', ' ', 'Thu hút '
'磨く腕を', '磨く腕を', ' ', ' ', 'cánh tay để đánh bóng '
'好き太鼓', '好き太鼓', ' ', ' ', 'Tình yêu trống '
'得意', 'とくい', 'đắc ý; khoái trí; tâm đắc', 'pride', ' '
'顔負け', 'かおまけ', 'sự xấu hổ; xấu hổ; ngượng; ngượng ngùng', ' ', ' '
'リズム', 'リズム', 'dịp ', 'rhythm', ' '
'感リズム', '感リズム', ' ', ' ', 'Cảm thấy nhịp điệu '
'甘えるお言葉に', '甘えるお言葉に', ' ', ' ', 'lời nói của bạn Amaeru '
'メンバー', 'メンバー', 'thành viên ', 'member', ' '
'リーダー', 'リーダー', 'độc giả ', 'leader', ' '
'踊り', 'おどり', 'sự nhảy múa; múa', 'dance ', ' '
'ブレイクダンス', 'ブレイクダンス', ' ', ' ', 'Break dance '
'才能', 'さいのう', 'bạn lãnh ', 'ability', ' '
'ツェフ', 'ツェフ', ' ', ' ', 'Cech '
'好意', 'こうい', 'hữu ý; cảm tình; sự ưu ái; thiện ý; thiện chí; lòng tốt', 'favor', ' '
'ホームカミングデイ', 'ホームカミングデイ', ' ', ' ', 'Homecoming ngày '
'代々', 'だいだい', 'đời đời ', ' ', ' '
'実行委員', 'じっこういいん', ' ', ' ', 'Ban chấp hành '
'進行する', 'しんこうする', 'tiến hành ', 'move', ' '
'部下', 'ぶか', 'bầy tôi ', 'man', ' '
'後輩', 'こうはい', 'người có bậc thấp hơn; học sinh khối dưới; người vào (công ty...) sau; hậu bối; người vào sau; hậu sinh', 'inferior ', ' '
'エルイーディー電球', 'エルイーディー電球', ' ', ' ', 'Bóng đèn El Tweedy '
'電球', 'でんきゅう', 'bóng đèn', 'bulb', ' '
'寿命', 'じゅみょう', 'tuổi thọ; đời ', 'life', ' '
'用いる', 'もちいる', 'áp dụng cho ', 'use', ' '
'お嬢さん', 'おじょうさん', 'Thưa cô, ...; cô gái; con gái', 'miss ', ' '
'転職する', 'にてんしょくする', 'Chuyển nghề', ' ', ' '
'環境問題', 'かんきょうもんだい', 'vấn đề môi trường', ' ', ' '
'経営する', 'けいえい', 'kinh doanh', 'run', ' '
'すべて', 'すべて', 'tất cả', 'all', ' '
'各国', 'かくこく', 'các nước; các quốc gia', ' ', ' '
'地球温暖化', 'ちきゅうおんだんか', ' ', ' ', 'Sự nóng lên toàn cầu '
'温暖化', 'おんだんか', ' ', ' ', 'Sự nóng lên toàn cầu '
'家族関係', '家族関係', ' ', ' ', 'Các mối quan hệ gia đình '
'論文', 'ろんぶん', 'luận ', 'paper', ' '
'題名', 'だいめい', 'nhan đề ', 'title', ' '
'ベジタリアン', 'ベジタリアン', ' ', ' ', 'Chay '
'選挙する', 'せんきょ', 'bầu cử ', 'elect', ' '
'出る選挙に', '出る選挙に', ' ', ' ', 'để có được ra khỏi cuộc bầu cử '
'混乱する', 'こんらん', 'hỗn loạn', 'confuse', ' '
'調整する', 'ちょうせい', 'điều chỉnh', 'adjust', ' '
'当番', 'とうばん', 'việc thực thi nhiệm vụ; lượt (làm việc)', ' ', ' '
'交代する', 'こうたい', 'thay đổi; thay phiên; thay nhau', 'alternate', ' '
'ピアニスト', 'ピアニスト', 'người chơi đàn pianô ', 'pianist', ' '
'楽器', 'がっき', 'nhạc cụ', '(musical) instrument', ' '
'一家音楽', '一家音楽', ' ', ' ', 'Âm nhạc gia đình '
'秘密', 'ひみつ', 'bí ẩn ', 'secret', ' '
'帰国生徒', '帰国生徒', ' ', ' ', 'Sinh viên trở về '
'器用な', '器用な', ' ', 'clever', 'Khéo léo '
'かく汗を', 'かく汗を', ' ', ' ', 'Mồ hôi '
'注文する', 'ちゅうもん', 'đặt hàng; gọi món', 'order', ' '
'マナー', 'マナー', 'lối; thói; kiểu; dáng vẻ; bộ dạng ', 'manner', ' '
'国民栄誉賞', '国民栄誉賞', ' ', ' ', 'Giải thưởng danh dự của dân '
'栄誉', 'えいよ', 'sự vinh dự; niềm vinh dự', 'glory', ' '
'信頼する', 'しんらい', 'tin cậy; tín nhiệm ', 'trust', ' '
'思い浮かべる', 'おもいうかべる', ' ', ' ', 'Hình dung '
'中年', 'ちゅうねん', 'trung niên ', 'middle age', ' '
'提供する', 'ていきょう', 'cung cấp', 'offer', ' '
'展開する', 'てんかいする', 'khai triển ', 'unfold ', ' '
'走り回る', 'はしりまわる', 'chạy vòng tròn', ' ', ' '
'こうして', 'こうして', 'dường ấy ', 'like this ', ' '
'あっという間', 'あっというま', ' ', ' ', 'Nháy mắt '
'支社', 'ししゃ', 'chi nhánh ', 'affiliate ', ' '
'しみじみ', 'しみじみ', ' ', ' ', 'Sâu sắc '
'でかい', 'でかい', 'to; to lớn ', ' ', ' '
'うながり人と人との', 'うながり人と人との', ' ', ' ', 'Với người Unagari và người '
'金儲け', 'かねもうけ', 'kiếm tiền; cày tiền (tiếng lóng)', ' ', ' '
'緊急', 'きんきゅう', 'cần kíp ', 'emergency', ' '
'共生する', '共生する', ' ', ' ', 'Sống chung với nhau '
'耳にする', '耳にする', ' ', 'hear ', 'Nghe '
'共に', 'ともに', 'cùng nhau ', 'together ', ' '
'利益', 'りえき', 'ích ', 'profit ', ' '
'分かち合う', 'わかちあう', ' ', 'share', 'Phần '
'ヤドカリ', 'ヤドカリ', ' ', 'hermit crab ', 'Paguroidea '
'イソギンチャク', 'イソギンチャク', ' ', 'sea anemone ', 'Bộ Hải quỳ '
'用語', 'ようご', 'thuật ngữ ', 'term', ' '
'社会科学', 'しゃかいかがく', 'môn khoa học xã hội ', ' ', ' '
'分野', 'ぶんや', 'lĩnh vực', 'field', ' '
'込める意味を', '込める意味を', ' ', ' ', 'thỏa ý nghĩa '
'乗り越える', 'のりこえる', 'trèo lên; vượt lên trên; vượt qua (khó khăn)', 'surmount ', ' '
'怠け者', 'なまけもの', 'đại lãn ', 'idler ', ' '
'真面目な', 'まじめな', 'đàng hoàng ', ' ', ' '
'ナマケモノ', 'ナマケモノ', ' ', 'sloth ', 'Tánh lười biếng '
'ぶら下がる', 'ぶらさがる', 'treo lòng thòng; rủ xuống; được treo vào ', 'hang', ' '
'移動する', 'いどう', 'làm di chuyển; làm dịch chuyển', 'move', ' '
'エネルギー', 'エネルギー', 'hơi sức ', 'energy', ' '
'ちょうど', 'ちょうど', 'vừa đúng; vừa chuẩn', 'just', ' '
'賢い', 'かしこい', 'thông minh; khôn ngoan; khôn; khôn khéo', 'wise', ' '
'さんの右に出る人はいない', 'さんの右に出る人はいない', ' ', ' ', 'Không ai đi ra ngoài để nói đúng '
'そんな大したものじゃありません', 'そんな大したものじゃありません', ' ', ' ', 'Mà không phải là loại vấn đề lớn '
'いえそれほどでも', 'いえそれほどでも', ' ', ' ', 'Và không kém '
'ただ自分で言うのもなんですが', 'ただ自分で言うのもなんですが', ' ', ' ', 'Mặc dù chỉ là những gì bạn nói trên của riêng bạn cũng '
'お言葉に甘えて', 'お言葉に甘えて', ' ', ' ', 'Trong những ân sủng từ ngữ của bạn '
'水戸黄門', 'みとこうもん', ' ', ' ', 'Mito Komon '
'助さん角さん', '助さん角さん', ' ', ' ', 'Góc Trợ lý của ông '
'うっかり八兵衛', 'うっかり八兵衛', ' ', ' ', 'Vô tình Hachibe '
'ハリーポッター', 'ハリーポッター', ' ', ' ', 'Harry potter '
'ロン', 'ロン', ' ', ' ', 'Ron '
'ハーマイオニー', 'ハーマイオニー', ' ', ' ', 'Hermione '
'ネビルロングボトム', 'ネビルロングボトム', ' ', ' ', 'Neville Longbottom '
'トルコ', 'トルコ', 'nước Thổ nhĩ kỳ ', 'Turkey. ', ' '
'イスタンブール', 'イスタンブール', 'thủ đô Istanbul của Thổ Nhĩ Kỳ', ' ', ' '
'新潟', 'にいがた', ' ', ' ', 'Niigata '
'佐渡', 'さと', ' ', ' ', 'Sado '
'鬼太鼓', '鬼太鼓', ' ', ' ', 'Trống Demon '
'佐渡おけさ', '佐渡おけさ', ' ', ' ', 'Sado Okesa '
'マイケルジャクソン', 'マイケルジャクソン', ' ', ' ', 'Michael jackson '
'欧米', 'おうべい', 'Âu Mỹ', 'west ', ' '
'徳島', 'とくしま', ' ', ' ', 'Tokushima '
'阿波踊り', 'あわおどり', ' ', ' ', 'Awa khiêu vũ '
'サンバ', 'サンバ', 'samba; điệu nhảy samba ', 'samba ', ' '
